node_index,x (m),y (m),z (m),mass
1,0,0,16.45,0.076
2,0,0,21.25,0.076
3,0,6.6,16.45,0.076
4,0,6.6,21.25,0.076
5,0,11,16.45,0.076
6,0,11,21.25,0.076
7,0,13.7,16.45,0.076
8,0,13.7,21.25,0.076
9,2.7,11,16.45,0.076
10,2.7,11,21.25,0.076
11,2.7,13.7,16.45,0.076
12,2.7,13.7,21.25,0.076
13,0,19.7,16.45,0.076
14,0,19.7,21.25,0.076
15,0,26.1,16.45,0.076
16,0,26.1,21.25,0.076
17,0,32.5,16.45,0.076
18,0,32.5,21.25,0.076
19,0,38.9,16.45,0.076
20,0,38.9,21.25,0.076
21,6.7,0,16.45,0.076
22,6.7,0,21.25,0.076
23,6.7,6.6,16.45,0.076
24,6.7,6.6,21.25,0.076
25,6.7,13,16.45,0.076
26,6.7,13,21.25,0.076
27,6.7,19.7,16.45,0.076
28,6.7,19.7,21.25,0.076
29,6.7,26.1,16.45,0.076
30,6.7,26.1,21.25,0.076
31,6.7,32.5,16.45,0.076
32,6.7,32.5,21.25,0.076
33,6.7,38.9,16.45,0.076
34,6.7,38.9,21.25,0.076
35,13.1,0,16.45,0.076
36,13.1,0,21.25,0.076
37,13.1,6.6,16.45,0.076
38,13.1,6.6,21.25,0.076
39,13.1,13,16.45,0.076
40,13.1,13,21.25,0.076
41,13.1,19.7,16.45,0.076
42,13.1,19.7,21.25,0.076
43,13.1,26.1,16.45,0.076
44,13.1,26.1,21.25,0.076
45,13.1,32.5,16.45,0.076
46,13.1,32.5,21.25,0.076
47,13.1,38.9,16.45,0.076
48,13.1,38.9,21.25,0.076
49,19.5,0,16.45,0.076
50,19.5,0,21.25,0.076
51,19.5,6.6,16.45,0.076
52,19.5,6.6,21.25,0.076
53,19.5,13,16.45,0.076
54,19.5,13,21.25,0.076
55,19.5,19.7,16.45,0.076
56,19.5,19.7,21.25,0.076
57,19.5,26.1,16.45,0.076
58,19.5,26.1,21.25,0.076
59,19.5,32.5,16.45,0.076
60,19.5,32.5,21.25,0.076
61,19.5,38.9,16.45,0.076
62,19.5,38.9,21.25,0.076
63,26.1,0,16.45,0.076
64,26.1,0,21.25,0.076
65,26.1,6.6,16.45,0.076
66,26.1,6.6,21.25,0.076
67,26.1,13,16.45,0.076
68,26.1,13,21.25,0.076
69,26.1,19.7,16.45,0.076
70,26.1,19.7,21.25,0.076
71,26.1,26.1,16.45,0.076
72,26.1,26.1,21.25,0.076
73,26.1,32.5,16.45,0.076
74,26.1,32.5,21.25,0.076
75,26.1,38.9,16.45,0.076
76,26.1,38.9,21.25,0.076
77,0,0,24.45,0.076
78,0,6.6,24.45,0.076
79,0,11,24.45,0.076
80,0,13.7,24.45,0.076
81,2.7,11,24.45,0.076
82,2.7,13.7,24.45,0.076
83,0,19.7,24.45,0.076
84,0,26.1,24.45,0.076
85,0,32.5,24.45,0.076
86,0,38.9,24.45,0.076
87,6.7,0,24.45,0.076
88,6.7,6.6,24.45,0.076
89,6.7,13,24.45,0.076
90,6.7,19.7,24.45,0.076
91,6.7,26.1,24.45,0.076
92,6.7,32.5,24.45,0.076
93,6.7,38.9,24.45,0.076
94,13.1,0,24.45,0.076
95,13.1,6.6,24.45,0.076
96,13.1,13,24.45,0.076
97,13.1,19.7,24.45,0.076
98,13.1,26.1,24.45,0.076
99,13.1,32.5,24.45,0.076
100,13.1,38.9,24.45,0.076
101,19.5,0,24.45,0.076
102,19.5,6.6,24.45,0.076
103,19.5,13,24.45,0.076
104,19.5,19.7,24.45,0.076
105,19.5,26.1,24.45,0.076
106,19.5,32.5,24.45,0.076
107,19.5,38.9,24.45,0.076
108,26.1,0,24.45,0.076
109,26.1,6.6,24.45,0.076
110,26.1,13,24.45,0.076
111,26.1,19.7,24.45,0.076
112,26.1,26.1,24.45,0.076
113,26.1,32.5,24.45,0.076
114,26.1,38.9,24.45,0.076
115,0,0,27.65,0.076
116,0,6.6,27.65,0.076
117,0,11,27.65,0.076
118,0,13.7,27.65,0.076
119,2.7,11,27.65,0.076
120,2.7,13.7,27.65,0.076
121,0,19.7,27.65,0.076
122,0,26.1,27.65,0.076
123,0,32.5,27.65,0.076
124,0,38.9,27.65,0.076
125,6.7,0,27.65,0.076
126,6.7,6.6,27.65,0.076
127,6.7,13,27.65,0.076
128,6.7,19.7,27.65,0.076
129,6.7,26.1,27.65,0.076
130,6.7,32.5,27.65,0.076
131,6.7,38.9,27.65,0.076
132,13.1,0,27.65,0.076
133,13.1,6.6,27.65,0.076
134,13.1,13,27.65,0.076
135,13.1,19.7,27.65,0.076
136,13.1,26.1,27.65,0.076
137,13.1,32.5,27.65,0.076
138,13.1,38.9,27.65,0.076
139,19.5,0,27.65,0.076
140,19.5,6.6,27.65,0.076
141,19.5,13,27.65,0.076
142,19.5,19.7,27.65,0.076
143,19.5,26.1,27.65,0.076
144,19.5,32.5,27.65,0.076
145,19.5,38.9,27.65,0.076
146,26.1,0,27.65,0.076
147,26.1,6.6,27.65,0.076
148,26.1,13,27.65,0.076
149,26.1,19.7,27.65,0.076
150,26.1,26.1,27.65,0.076
151,26.1,32.5,27.65,0.076
152,26.1,38.9,27.65,0.076
153,0,0,31.45,0.076
154,0,6.6,31.45,0.076
155,0,11,31.45,0.076
156,0,13.7,31.45,0.076
157,2.7,11,31.45,0.076
158,2.7,13.7,31.45,0.076
159,0,19.7,31.45,0.076
160,0,26.1,31.45,0.076
161,0,32.5,31.45,0.076
162,0,38.9,31.45,0.076
163,6.7,0,31.45,0.076
164,6.7,6.6,31.45,0.076
165,6.7,13,31.45,0.076
166,6.7,19.7,31.45,0.076
167,6.7,26.1,31.45,0.076
168,6.7,32.5,31.45,0.076
169,6.7,38.9,31.45,0.076
170,13.1,0,31.45,0.076
171,13.1,6.6,31.45,0.076
172,13.1,13,31.45,0.076
173,13.1,19.7,31.45,0.076
174,13.1,26.1,31.45,0.076
175,13.1,32.5,31.45,0.076
176,13.1,38.9,31.45,0.076
177,19.5,0,31.45,0.076
178,19.5,6.6,31.45,0.076
179,19.5,13,31.45,0.076
180,19.5,19.7,31.45,0.076
181,19.5,26.1,31.45,0.076
182,19.5,32.5,31.45,0.076
183,19.5,38.9,31.45,0.076
184,26.1,0,31.45,0.076
185,26.1,6.6,31.45,0.076
186,26.1,13,31.45,0.076
187,26.1,19.7,31.45,0.076
188,26.1,26.1,31.45,0.076
189,26.1,32.5,31.45,0.076
190,26.1,38.9,31.45,0.076
